"comm_fkt","CSB","tot_consult","perc_consult"
"AMBOHIMIERA_ANDRORANGAVOLA","TSARATANANA",1,0.0125
"AMBOHIMIERA_ANTARAMBAKANA","AMBOHIMANGA DU SUD",5,0.0340136054421769
"AMBOHIMIERA_ANTARAMBAKANA","AMBOHIMIERA",75,0.510204081632653
"AMBOHIMIERA_ANTARAMBAKANA","MAROMANANA",67,0.45578231292517
"AMBOHIMIERA_FALIARIVO","AMBOHIMANGA DU SUD",1,0.025
"AMBOHIMIERA_FALIARIVO","AMBOHIMIERA",12,0.3
"AMBOHIMIERA_FALIARIVO","ANALAMARINA",26,0.65
"AMBOHIMIERA_FALIARIVO","MAROMANANA",1,0.025
"AMBOHIMIERA_FIADANANA NORD","AMBOHIMANGA DU SUD",16,0.615384615384615
"AMBOHIMIERA_FIADANANA NORD","AMBOHIMIERA",3,0.115384615384615
"AMBOHIMIERA_FIADANANA NORD","IFANADIANA",1,0.0384615384615385
"AMBOHIMIERA_FIADANANA NORD","MAROMANANA",4,0.153846153846154
"AMBOHIMIERA_FIADANANA NORD","TSARATANANA",2,0.0769230769230769
"AMBOHIMIERA_MANARINONY","AMBOHIMIERA",53,0.143243243243243
"AMBOHIMIERA_MANARINONY","ANALAMARINA",20,0.0540540540540541
"AMBOHIMIERA_MANARINONY","IFANADIANA",1,0.0027027027027027
"AMBOHIMIERA_MANARINONY","TSARATANANA",296,0.8
"AMBOHIMIERA_MAROFOTSY","AMBODIARA SUD",3,0.0065359477124183
"AMBOHIMIERA_MAROFOTSY","AMBOHIMIERA",454,0.989106753812636
"AMBOHIMIERA_MAROFOTSY","FASINTSARA",1,0.00217864923747277
"AMBOHIMIERA_MAROFOTSY","TSARATANANA",1,0.00217864923747277
"AMBOHIMIERA_MAROMANANA","AMBOHIMANGA DU SUD",5,0.0116550116550117
"AMBOHIMIERA_MAROMANANA","AMBOHIMIERA",3,0.00699300699300699
"AMBOHIMIERA_MAROMANANA","FASINTSARA",2,0.00466200466200466
"AMBOHIMIERA_MAROMANANA","IFANADIANA",1,0.00233100233100233
"AMBOHIMIERA_MAROMANANA","MAROMANANA",417,0.972027972027972
"AMBOHIMIERA_MAROMANANA","TSARATANANA",1,0.00233100233100233
"AMBOHIMIERA_SAHALALONA","AMBOHIMIERA",24,0.269662921348315
"AMBOHIMIERA_SAHALALONA","ANALAMARINA",63,0.707865168539326
"AMBOHIMIERA_SAHALALONA","TSARATANANA",2,0.0224719101123595
"AMBOHIMIERA_SAHASOMANGANA","AMBOHIMIERA",664,0.904632152588556
"AMBOHIMIERA_SAHASOMANGANA","IFANADIANA",5,0.00681198910081744
"AMBOHIMIERA_SAHASOMANGANA","RANOMAFANA",5,0.00681198910081744
"AMBOHIMIERA_SAHASOMANGANA","TSARATANANA",60,0.0817438692098093
"AMBOHIMIERA_TSINJORANO","AMBOHIMIERA",643,0.996899224806202
"AMBOHIMIERA_TSINJORANO","ANALAMARINA",1,0.00155038759689922
"AMBOHIMIERA_TSINJORANO","IFANADIANA",1,0.00155038759689922
"AMBOHIMIERA_VOHIMENA","AMBOHIMANGA DU SUD",1,0.00183823529411765
"AMBOHIMIERA_VOHIMENA","AMBOHIMIERA",28,0.0514705882352941
"AMBOHIMIERA_VOHIMENA","ANALAMARINA",10,0.0183823529411765
"AMBOHIMIERA_VOHIMENA","ANTARETRA",1,0.00183823529411765
"AMBOHIMIERA_VOHIMENA","IFANADIANA",37,0.0680147058823529
"AMBOHIMIERA_VOHIMENA","RANOMAFANA",3,0.00551470588235294
"AMBOHIMIERA_VOHIMENA","TSARATANANA",464,0.852941176470588
"AMPASINAMBO_AMBODIARA NORD","AMBODIARA SUD",2,0.00378787878787879
"AMPASINAMBO_AMBODIARA NORD","AMPASINAMBO",394,0.746212121212121
"AMPASINAMBO_AMBODIARA NORD","FASINTSARA",130,0.246212121212121
"AMPASINAMBO_AMBODIARA NORD","MAHASOA",1,0.00189393939393939
"AMPASINAMBO_AMBODIARA NORD","MAROHARATRA",1,0.00189393939393939
"AMPASINAMBO_AMPASIMBOLA I","AMPASINAMBO",562,0.982517482517482
"AMPASINAMBO_AMPASIMBOLA I","FASINTSARA",10,0.0174825174825175
"AMPASINAMBO_AMPASINAMBO","AMBALAVOLO",1,0.000340020401224073
"AMPASINAMBO_AMPASINAMBO","AMBODIARA SUD",11,0.00374022441346481
"AMPASINAMBO_AMPASINAMBO","AMBOHIMANGA DU SUD",2,0.000680040802448147
"AMPASINAMBO_AMPASINAMBO","AMPASINAMBO",2917,0.991839510370622
"AMPASINAMBO_AMPASINAMBO","ANTSINDRA",1,0.000340020401224073
"AMPASINAMBO_AMPASINAMBO","FASINTSARA",9,0.00306018361101666
"AMPASINAMBO_FIADANANA NORD","AMPASINAMBO",188,0.831858407079646
"AMPASINAMBO_FIADANANA NORD","FASINTSARA",38,0.168141592920354
"AMPASINAMBO_MORARANO","FASINTSARA",3,1
"AMPASINAMBO_SAKAVANANA","AMPASINAMBO",482,0.897579143389199
"AMPASINAMBO_SAKAVANANA","FASINTSARA",54,0.100558659217877
"AMPASINAMBO_SAKAVANANA","IFANADIANA",1,0.00186219739292365
"AMPASINAMBO_VOLOBE","AMBODIARA SUD",1,0.00425531914893617
"AMPASINAMBO_VOLOBE","AMPASINAMBO",196,0.834042553191489
"AMPASINAMBO_VOLOBE","FASINTSARA",38,0.161702127659574
"ANALAMPASINA_AMBARO","AMBOHIMANGA DU SUD",9,0.0573248407643312
"ANALAMPASINA_AMBARO","ANALAMPASINA",40,0.254777070063694
"ANALAMPASINA_AMBARO","MAROMANANA",108,0.687898089171974
"ANALAMPASINA_AMBOHIMALAZA","AMBOHIMANGA DU SUD",344,0.487252124645892
"ANALAMPASINA_AMBOHIMALAZA","ANALAMPASINA",343,0.485835694050992
"ANALAMPASINA_AMBOHIMALAZA","MAROMANANA",19,0.0269121813031161
"ANALAMPASINA_AMBOHIMIARINA","AMBOHIMANGA DU SUD",59,0.421428571428571
"ANALAMPASINA_AMBOHIMIARINA","ANALAMPASINA",80,0.571428571428571
"ANALAMPASINA_AMBOHIMIARINA","MAROMANANA",1,0.00714285714285714
"ANALAMPASINA_ANALAMPASINA","AMBOHIMANGA DU SUD",69,0.0344483275087369
"ANALAMPASINA_ANALAMPASINA","AMBOHIMIERA",1,0.000499251123315027
"ANALAMPASINA_ANALAMPASINA","ANALAMPASINA",1927,0.962056914628058
"ANALAMPASINA_ANALAMPASINA","IFANADIANA",3,0.00149775336994508
"ANALAMPASINA_ANALAMPASINA","MAROMANANA",3,0.00149775336994508
"ANALAMPASINA_ANALAVORY","AMBOHIMANGA DU SUD",60,0.55045871559633
"ANALAMPASINA_ANALAVORY","ANALAMPASINA",48,0.440366972477064
"ANALAMPASINA_ANALAVORY","ANTARETRA",1,0.00917431192660551
"ANALAMPASINA_ANDRORANGAVOLA SUD","AMBOHIMANGA DU SUD",1,0.00235849056603774
"ANALAMPASINA_ANDRORANGAVOLA SUD","ANALAMPASINA",404,0.952830188679245
"ANALAMPASINA_ANDRORANGAVOLA SUD","ANDRORANGAVOLA",18,0.0424528301886792
"ANALAMPASINA_ANDRORANGAVOLA SUD","MAROTOKO",1,0.00235849056603774
"ANALAMPASINA_BETAMPO NORD","AMBOHIMANGA DU SUD",3,0.032258064516129
"ANALAMPASINA_BETAMPO NORD","ANALAMPASINA",90,0.967741935483871
"ANALAMPASINA_MANJIRIANA SUD","AMBOHIMANGA DU SUD",8,0.0522875816993464
"ANALAMPASINA_MANJIRIANA SUD","ANALAMPASINA",26,0.169934640522876
"ANALAMPASINA_MANJIRIANA SUD","MAROMANANA",119,0.777777777777778
"ANALAMPASINA_MATSITSIRANO","AMBOHIMANGA DU SUD",16,0.170212765957447
"ANALAMPASINA_MATSITSIRANO","ANALAMPASINA",78,0.829787234042553
"ANDRORANGAVOLA_AMBALATABAKA","ANDRORANGAVOLA",274,0.928813559322034
"ANDRORANGAVOLA_AMBALATABAKA","IFANADIANA",6,0.0203389830508475
"ANDRORANGAVOLA_AMBALATABAKA","MAHASOA",7,0.023728813559322
"ANDRORANGAVOLA_AMBALATABAKA","MAROTOKO",8,0.0271186440677966
"ANDRORANGAVOLA_AMBALAVAONA","ANDRORANGAVOLA",82,0.796116504854369
"ANDRORANGAVOLA_AMBALAVAONA","IFANADIANA",19,0.184466019417476
"ANDRORANGAVOLA_AMBALAVAONA","MAROTOKO",2,0.0194174757281553
"ANDRORANGAVOLA_AMBODIARA NORD","ANDRORANGAVOLA",84,0.390697674418605
"ANDRORANGAVOLA_AMBODIARA NORD","ANTARETRA",8,0.0372093023255814
"ANDRORANGAVOLA_AMBODIARA NORD","IFANADIANA",14,0.0651162790697674
"ANDRORANGAVOLA_AMBODIARA NORD","MAHASOA",108,0.502325581395349
"ANDRORANGAVOLA_AMBODIARA NORD","TSARATANANA",1,0.00465116279069767
"ANDRORANGAVOLA_AMBODIFONTSINA","ANDRORANGAVOLA",9,0.0573248407643312
"ANDRORANGAVOLA_AMBODIFONTSINA","ANTARETRA",43,0.273885350318471
"ANDRORANGAVOLA_AMBODIFONTSINA","IFANADIANA",75,0.477707006369427
"ANDRORANGAVOLA_AMBODIFONTSINA","MAROTOKO",30,0.191082802547771
"ANDRORANGAVOLA_AMBODIRORANGA","AMBOHIMANGA DU SUD",1,0.00177304964539007
